Player,Count,MVP_Won,AVG_Minutes_Per_Game,AVG_Points_Per_Game,AVG_Total_Rebounds_Per_Game,AVG_Assists_Per_Game,AVG_Steals_Per_Game,AVG_blocks_Per_Game,AVG_Field_Goal_Percentage,AVG_3-Points_Field_Goal_Percentage,AVG_Free_Throw_Percentage,AVG_Win_Shares,AVG_Win_Shares_Per_48_Minutes
Shawn Marion,2,0,39.55,20.6,11.55,1.85,2.0,1.6,0.5005,0.3325,0.821,13.55,0.2025
Anthony Edwards,2,0,35.7,26.75,5.550000000000001,4.8,1.25,0.55,0.454,0.376,0.8365,7.95,0.135
Kobe Bryant,12,1,38.74166666666667,28.108333333333334,5.6499999999999995,5.166666666666667,1.5749999999999995,0.425,0.4550833333333333,0.32891666666666663,0.8428333333333334,11.766666666666666,0.19133333333333333
Ben Wallace,3,0,37.86666666666667,8.0,13.6,1.5666666666666664,1.6333333333333335,3.233333333333333,0.47766666666666663,0.09733333333333334,0.4543333333333333,10.799999999999999,0.17533333333333334
Tim Duncan,13,2,33.96923076923077,19.461538461538463,10.96923076923077,3.099999999999999,0.7384615384615386,2.2384615384615385,0.5033846153846154,0.1703846153846154,0.6974615384615386,11.384615384615387,0.21107692307692305
Giannis Antetokounmpo,9,2,33.65555555555555,28.544444444444448,11.41111111111111,5.788888888888888,1.1777777777777778,1.2777777777777777,0.5631111111111111,0.2784444444444445,0.6908888888888891,11.800000000000002,0.24488888888888885
Julius Randle,1,0,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14
Jermaine O'Neal,1,0,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155
Peja Stojaković,2,0,38.8,22.7,5.8,2.3,1.2000000000000002,0.2,0.482,0.4245,0.9015,11.7,0.1885
Chauncey Billups,4,0,35.425,18.175,3.15,6.95,1.1,0.15000000000000002,0.42025,0.39299999999999996,0.9,11.625,0.2065
Kyle Lowry,1,0,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
Luka Dončić,5,0,35.4,30.24,8.86,8.78,1.2,0.45999999999999996,0.47640000000000005,0.34859999999999997,0.752,9.260000000000002,0.19060000000000002
Nikola Jokić,7,3,33.77142857142857,24.857142857142858,11.714285714285712,8.5,1.4142857142857144,0.7285714285714286,0.5684285714285714,0.3578571428571428,0.8221428571428573,14.385714285714284,0.27699999999999997
Jayson Tatum,5,0,35.84,26.820000000000004,8.120000000000001,4.58,1.1199999999999999,0.6599999999999999,0.4584,0.365,0.8331999999999999,9.379999999999999,0.17260000000000003
Joel Embiid,5,1,32.7,28.52,11.42,3.62,0.8800000000000001,1.6600000000000001,0.5054000000000001,0.3372,0.8206,9.6,0.2252
Ty Lawson,1,0,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141
Sam Cassell,1,0,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205
Deron Williams,2,0,37.099999999999994,18.75,3.5,10.5,1.2000000000000002,0.25,0.488,0.383,0.802,10.8,0.177
Ben Simmons,1,0,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6.0,0.153
Carlos Boozer,2,0,34.75,21.0,11.05,2.95,1.05,0.4,0.554,0.0,0.7115,10.05,0.179
Jimmy Butler,3,0,34.63333333333333,21.666666666666668,5.966666666666666,5.3999999999999995,1.8666666666666665,0.4333333333333333,0.48933333333333334,0.31466666666666665,0.846,10.066666666666668,0.232
Cade Cunningham,1,0,35.0,26.1,6.1,9.1,1.0,0.8,0.469,0.356,0.846,5.9,0.115
