points_share,VORP,PER,FG,2P,DWS,USG%,WS/48,WS,PTS,FTA
0.0,0.2,12.8,1.9,1.6,1.2,14.5,0.09,1.6,4.9,1.1
0.0,0.4,26.1,7.3,4.6,0.2,29.8,0.179,0.7,20.1,3.3
0.0,-0.1,4.5,0.5,0.3,0.2,11.1,-0.006,0.0,1.4,0.4
0.004,2.2,16.7,7.5,5.2,3.8,29.1,0.095,5.2,20.5,3.8
0.0,0.0,3.5,0.3,0.3,0.0,14.4,-0.013,0.0,0.7,0.0
0.0,0.3,13.5,4.4,2.8,1.1,19.6,0.064,2.9,11.8,1.5
0.0,0.4,15.0,4.5,4.0,1.6,26.2,0.036,1.1,11.4,2.8
0.0,0.8,15.4,3.3,1.7,0.8,18.6,0.11,4.1,10.2,2.5
0.0,0.0,-2.3,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0
0.0,-0.3,11.5,3.0,2.6,0.7,16.7,0.036,1.2,7.5,1.2
0.0,0.8,16.6,4.7,3.8,2.5,20.0,0.122,4.7,12.7,3.2
0.0,0.0,9.3,0.8,0.3,0.1,13.7,0.05,0.2,2.3,0.2
0.0,0.9,12.6,3.1,1.2,1.7,14.4,0.132,4.8,9.3,1.4
0.0,0.3,14.7,2.4,2.1,1.3,16.3,0.105,2.9,5.9,1.3
0.0,0.3,12.4,2.0,1.1,0.8,19.0,0.086,2.0,6.3,1.5
0.0,0.6,14.2,4.5,3.3,1.6,22.5,0.058,2.3,12.1,2.6
0.0,0.0,15.9,5.0,4.0,0.0,31.3,0.087,0.0,18.0,7.0
0.0,0.0,41.9,1.0,0.0,0.0,11.1,0.571,0.0,3.0,0.0
0.0,-0.1,4.6,0.8,0.3,0.0,12.3,0.041,0.1,2.8,1.0
0.0,0.7,12.6,2.6,1.4,1.1,14.3,0.097,2.8,6.8,0.7
0.0,0.5,13.4,2.1,1.5,1.2,13.7,0.113,2.8,5.4,0.8
0.0,1.8,20.0,2.9,2.9,2.1,17.0,0.166,4.8,7.1,1.6
0.0,-0.3,3.1,0.5,0.5,0.2,8.7,-0.021,-0.1,1.2,0.7
0.0,0.0,17.4,2.4,2.4,0.4,18.3,0.132,1.3,5.9,1.6
0.0,1.9,15.8,5.2,3.2,2.8,20.9,0.137,6.6,14.6,2.7
0.0,0.0,11.6,1.6,1.1,0.3,17.3,0.06,0.6,4.1,0.5
0.0,0.5,17.8,1.4,1.4,1.3,12.8,0.175,2.7,3.5,1.1
0.0,0.0,12.0,4.1,3.1,0.4,19.3,0.046,0.4,10.7,1.9
0.0,0.8,14.3,5.4,3.3,1.5,24.3,0.081,2.7,14.7,2.2
0.0,-0.1,10.7,1.2,0.9,0.3,14.9,0.082,0.8,2.9,0.3
0.0,0.0,-2.3,0.3,0.3,0.0,21.3,-0.21,0.0,0.7,0.0
0.0,0.0,-4.6,0.0,0.0,0.0,16.3,-0.238,0.0,1.0,2.0
0.0,-0.3,8.8,1.4,1.2,0.3,21.7,0.003,0.0,3.4,0.6
0.0,0.1,12.0,2.0,1.2,0.3,12.1,0.125,0.8,5.1,0.4
0.0,-0.2,14.3,3.4,3.1,1.0,21.1,0.054,1.4,8.7,2.0
0.0,0.5,13.6,3.0,1.6,0.4,18.3,0.077,1.1,7.9,0.8
0.0,-0.9,7.1,2.3,0.8,0.8,12.7,0.001,0.1,6.5,0.6
0.0,0.5,10.9,2.2,2.0,1.3,8.6,0.1,2.2,5.0,1.0
0.0,-0.7,9.6,5.6,4.0,1.2,23.5,-0.007,-0.2,14.3,1.8
0.0,0.8,14.4,3.9,2.6,1.3,20.5,0.094,3.6,11.1,2.5
0.0,0.2,12.4,4.4,2.2,0.3,19.6,0.056,0.4,12.2,1.5
0.0,-0.3,1.9,0.3,0.2,0.2,16.8,-0.104,-0.3,1.2,0.7
0.084,4.5,25.0,8.9,6.1,2.7,31.0,0.222,8.9,24.4,4.4
0.0,-0.1,9.8,1.6,1.2,0.4,11.9,0.069,0.9,4.2,0.9
0.0,0.0,8.9,1.2,0.5,0.1,10.3,0.096,0.2,3.3,0.5
0.0,-0.3,13.0,6.9,5.6,1.6,23.4,0.033,2.1,17.7,3.8
0.0,-0.1,9.8,1.8,0.6,0.4,15.0,0.06,0.9,5.2,0.4
0.0,0.0,10.5,1.0,1.0,0.0,10.2,0.098,0.0,2.0,0.0
0.004,1.0,16.0,7.9,4.7,1.8,23.7,0.094,4.9,20.0,1.3
0.0,0.1,16.4,1.8,1.8,0.5,14.4,0.14,1.0,4.4,0.8
0.0,0.9,13.4,3.0,0.8,0.6,16.0,0.104,3.4,9.2,1.0
0.0,0.1,16.6,2.6,2.6,0.8,15.3,0.138,2.7,5.8,0.9
0.0,-0.2,12.8,5.9,4.3,1.7,28.9,-0.017,-0.7,15.2,2.8
0.0,1.4,13.2,4.6,2.4,2.7,16.9,0.103,5.3,13.4,2.6
0.0,0.0,8.1,1.2,0.4,0.6,10.1,0.042,0.7,3.3,0.2
0.0,1.2,19.7,5.2,4.1,1.5,26.0,0.101,3.5,13.2,2.1
0.0,1.8,17.0,4.8,3.6,1.9,22.4,0.12,4.9,12.9,2.6
0.0,3.4,18.3,5.8,4.0,3.1,18.4,0.161,8.1,14.7,1.7
